date,open,high,low,close,adj_close,volume
5/3/22,158.149994,160.710007,156.320007,159.479996,158.51973,88966500
5/4/22,159.669998,166.479996,159.259995,166.020004,165.020355,108256500
5/5/22,163.850006,164.080002,154.949997,156.770004,155.826065,130525300
5/6/22,156.009995,159.440002,154.179993,157.279999,156.562683,116124600
5/9/22,154.929993,155.830002,151.490005,152.059998,151.366486,131577900
5/10/22,155.520004,156.740005,152.929993,154.509995,153.805298,115366700
5/11/22,153.5,155.449997,145.809998,146.5,145.831848,142689800
5/12/22,142.770004,146.199997,138.800003,142.559998,141.909805,182602000
5/13/22,144.589996,148.100006,143.110001,147.110001,146.439056,113990900
5/16/22,145.550003,147.520004,144.179993,145.539993,144.876205,86643800
5/17/22,148.860001,149.770004,146.679993,149.240005,148.559357,78336300
5/18/22,146.850006,147.360001,139.899994,140.820007,140.17775,109742900
5/19/22,139.880005,141.660004,136.600006,137.350006,136.723587,136095600
5/20/22,139.089996,140.699997,132.610001,137.589996,136.962479,137426100
5/23/22,137.789993,143.259995,137.649994,143.110001,142.457306,117726300
5/24/22,140.809998,141.970001,137.330002,140.360001,139.719849,104132700
5/25/22,138.429993,141.789993,138.339996,140.520004,139.87912,92482700
5/26/22,137.389999,144.339996,137.139999,143.779999,143.124252,90601500
5/27/22,145.389999,149.679993,145.259995,149.639999,148.95752,90978500
5/31/22,149.070007,150.660004,146.839996,148.839996,148.161179,103718400
6/1/22,149.899994,151.740005,147.679993,148.710007,148.031784,74286600
6/2/22,147.830002,151.270004,146.860001,151.210007,150.52037,72348100
6/3/22,146.899994,147.970001,144.460007,145.380005,144.716949,88570300
6/6/22,147.029999,148.570007,144.899994,146.139999,145.473495,71598400
6/7/22,144.350006,149,144.100006,148.710007,148.031784,67808200
6/8/22,148.580002,149.869995,147.460007,147.960007,147.285187,53950200
6/9/22,147.080002,147.949997,142.529999,142.639999,141.989456,69473000
6/10/22,140.279999,140.759995,137.059998,137.130005,136.504593,91437900
6/13/22,132.869995,135.199997,131.440002,131.880005,131.278519,122207100
6/14/22,133.130005,133.889999,131.479996,132.759995,132.154495,84784300
6/15/22,134.289993,137.339996,132.160004,135.429993,134.812317,91533000
6/16/22,132.080002,132.389999,129.039993,130.059998,129.466812,108123900
6/17/22,130.070007,133.080002,129.809998,131.559998,130.959976,134520300
6/21/22,133.419998,137.059998,133.320007,135.869995,135.250305,81000500
6/22/22,134.789993,137.759995,133.910004,135.350006,134.732697,73409200
6/23/22,136.820007,138.589996,135.630005,138.270004,137.639374,72433800
6/24/22,139.899994,141.910004,139.770004,141.660004,141.013931,89116800
6/27/22,142.699997,143.490005,140.970001,141.660004,141.013931,70207900
6/28/22,142.130005,143.419998,137.320007,137.440002,136.813171,67083400
6/29/22,137.460007,140.669998,136.669998,139.229996,138.595001,66242400
6/30/22,137.25,138.369995,133.770004,136.720001,136.096451,98964500
7/1/22,136.039993,139.039993,135.660004,138.929993,138.296356,71051600
7/5/22,137.770004,141.610001,136.929993,141.559998,140.914383,73353800
7/6/22,141.350006,144.119995,141.080002,142.919998,142.268158,74064300
7/7/22,143.289993,146.550003,143.279999,146.350006,145.682541,66253700
7/8/22,145.259995,147.550003,145,147.039993,146.36937,64547800
7/11/22,145.669998,146.639999,143.779999,144.869995,144.209274,63141600
7/12/22,145.759995,148.449997,145.050003,145.860001,145.194748,77588800
